SN	Status	PartID	FPGAver		NegTime		NegDeadChCount	NegStatus	NegBoardID	PosTime		PosDeadChCount	PosStatus	PosBoardID
1976	1	-	c8081502	1535613494	1		1		1		1535613494	1		1		1		
1874	0	-	c8081502	1535629649	3		0		1		1535629649	2		1		1		
2007	4	-	c8081502	1535649289	0		2		1		1535649289	0		2		1		
2705	1	-	c8081502	1535623226	2		1		2		1535623226	2		1		2		
2732	2	-	c8081502	1535614234	1		1		2		1535614234	0		2		2		
2595	0	-	c8081502	1535617244	64		0		2		1535617244	64		0		2		
2471	4	FR3118	c8081502	1535660846	0		2		2		1535660846	0		2		2		
2600	2	-	c8081502	1535619635	1		1		2		1535619635	0		2		2		
2474	2	-	c8081502	1535661973	2		1		2		1535661973	0		2		2		
1496	4	FR3118	c8081502	1535650079	0		2		2		1535650079	0		2		2		
2008	4	FR3118	c8081502	1535646081	0		2		1		1535646081	0		2		1		
1861	1	FR3118	c8081502	1535636097	1		1		2		1535636097	1		1		2		
1857	4	-	c8081502	1535634449	0		2		2		1535634449	0		2		2		
2015	4	FR3118	c8081502	1535647694	0		2		1		1535647694	0		2		1		
579	4	-	c8081502	1535613475	0		2		2		1535613475	0		2		2		
2028	4	FR3118	c8081502	1535641347	0		2		1		1535641347	0		2		1		
1982	4	-	c8081502	1535617693	0		2		1		1535617693	0		2		1		
1860	1	FR3118	c8081502	1535635105	1		1		2		1535635105	1		1		2		
1620	4	-	c8081502	1535640923	0		2		2		1535640923	0		2		2		
1493	4	-	c8081502	1535648297	0		2		2		1535648297	0		2		2		
2102	4	-	c8081502	1535661544	0		2		1		1535661544	0		2		1		
2708	1	-	c8081502	1535622579	2		1		2		1535622579	2		1		2		
1942	4	-	c8081502	1535607477	0		2		1		1535607477	0		2		1		
1697	4	-	c8081502	1535650464	0		2		2		1535650464	0		2		2		
1842	1	FR3118	c8081502	1535627909	1		1		2		1535627909	1		1		2		
2100	0	-	c8091701	1542732220	64		0		6		1542732220	64		0		6		
974	0	-	c8091701	1542730062	64		0		5		1542730062	64		0		5		
2180	0	-	c8091701	1542728174	64		0		6		1542728174	64		0		6		
1705	0	FR3118	c8091701	1542733893	64		0		5		1542733893	64		0		5		
1795	0	-	c8091701	1542730818	2		1		5		1535987866	0		0		1		
2420	0	-	c8091701	1542732919	64		0		5		1542732919	64		0		5		
971	0	-	c8091701	1542729578	64		0		5		1542729578	64		0		5		
2188	0	-	c8091701	1542727832	64		0		6		1542727832	64		0		6		
2280	0	-	c8091701	1542730009	64		0		6		1542730009	64		0		6		
2432	0	-	c8091701	1542734943	9		0		5		1538467643	9		0		2		
2729	0	FR3118	c8091701	1542731188	8		0		5		1542731188	2		1		5		
2452	4	-	c8091701	1542733746	0		2		6		1542733746	0		2		6		
33355	4	-	c80b1501	1559218791	0		2		6		1559218791	0		2		6		
34556	0	-	c9051103	1559201337	55		0		1		1559201337	0		0		1		
33399	0	-	c80b1501	1559223239	0		2		5		1559223239	51		0		5		
34318	4	-	c80b1501	1559218239	0		2		5		1559218239	0		2		5		
